totalIterations;numWorkers;Duree;Pi;Error
9000000;9;36;3,141604888888889;0,000003894616663
10000000;10;39;3,141662800000000;0,000022328295849
11000000;11;36;3,141398181818182;0,000061902287488
12000000;12;43;3,140755333333333;0,000266527315533
1000000;1;24;3,141112000000000;0,000152996789461
2000000;2;28;3,141134000000000;0,000145993971965
3000000;3;29;3,142538666666667;0,000301125314828
4000000;4;30;3,140295000000000;0,000413055966473
5000000;5;33;3,141019200000000;0,000182535946899
6000000;6;48;3,143052000000000;0,000464524389736
7000000;7;36;3,141971428571428;0,000120567821294
8000000;8;38;3,140877500000000;0,000227640457771
9000000;9;34;3,142400888888889;0,000257269286065
10000000;10;41;3,141809200000000;0,000068928863186
11000000;11;42;3,141689454545455;0,000030812701179
12000000;12;42;3,141954666666667;0,000115232341297
1000000;1;24;3,142864000000000;0,000404682131133
2000000;2;27;3,140866000000000;0,000231301021462
3000000;3;31;3,140978666666667;0,000195438107619
4000000;4;30;3,140662000000000;0,000296236238244
5000000;5;31;3,141996800000000;0,000128643797834
6000000;6;35;3,141209333333333;0,000122014627206
7000000;7;37;3,141381142857143;0,000067325957237
8000000;8;39;3,143150000000000;0,000495718758582
9000000;9;37;3,141463555555556;0,000041093180585
10000000;10;43;3,141991200000000;0,000126861262472
11000000;11;39;3,140747272727273;0,000269093086131
12000000;12;41;3,141222666666667;0,000117770495390
1000000;1;23;3,143288000000000;0,000539645522875
2000000;2;28;3,141188000000000;0,000128805238111
3000000;3;33;3,141312000000000;0,000089334812224
4000000;4;32;3,140662000000000;0,000296236238244
5000000;5;34;3,140165600000000;0,000454245265745
6000000;6;34;3,140845333333334;0,000237879425777
7000000;7;37;3,141941142857143;0,000110927579026
8000000;8;37;3,141426000000000;0,000053047485199
9000000;9;39;3,141742666666667;0,000047750645426
10000000;10;39;3,142366800000000;0,000246418455723
11000000;11;40;3,141042909090909;0,000174989108870
12000000;12;45;3,140512666666667;0,000343770514580
1000000;1;23;3,138852000000000;0,000872377132236
2000000;2;29;3,140852000000000;0,000235757359869
3000000;3;31;3,141170666666667;0,000134322609471
4000000;4;32;3,142014000000000;0,000134118727877
5000000;5;34;3,142139200000000;0,000173971125627
6000000;6;33;3,141678666666667;0,000027378812710
7000000;7;37;3,141218285714286;0,000119164995844
8000000;8;36;3,141957500000000;0,000116134219308
9000000;9;39;3,142436888888889;0,000268728441967
10000000;10;38;3,142260400000000;0,000212550283833
11000000;11;43;3,141862909090909;0,000086024997801
12000000;12;42;3,141497666666667;0,000030235276689
1000000;1;24;3,142540000000000;0,000301549728010
2000000;2;27;3,140762000000000;0,000264405249625
3000000;3;30;3,140874666666667;0,000228542335782
4000000;4;31;3,141269000000000;0,000103022137330
5000000;5;33;3,141342400000000;0,000079658191684
6000000;6;36;3,140868000000000;0,000230664401690
7000000;7;38;3,141984571428572;0,000124751322655
8000000;8;35;3,142457500000000;0,000275289162399
9000000;9;36;3,141373333333333;0,000069811805872
10000000;10;40;3,141591600000000;0,000000335368047
11000000;11;39;3,141153818181818;0,000139685648766
12000000;12;53;3,141845666666667;0,000080536563703
1000000;1;24;3,140924000000000;0,000212839048063
2000000;2;28;3,142190000000000;0,000190141267845
3000000;3;33;3,141849333333334;0,000081703699952
4000000;4;31;3,141824000000000;0,000073639849502
5000000;5;35;3,141573600000000;0,000006064945998
6000000;6;37;3,141090000000000;0,000159999606957
7000000;7;39;3,141821142857143;0,000072730392684
8000000;8;41;3,141239500000000;0,000112412278972
9000000;9;35;3,140975555555555;0,000196428405042
10000000;10;40;3,141333600000000;0,000082459318683
11000000;11;40;3,141711272727273;0,000037757644150
12000000;12;49;3,141047666666667;0,000173474725472
